위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.2497341,126.564116,휴게음식점,문어빵굽는문빵9,제주특별자치도 서귀포시 중정로73번길 18-1 (서귀동),제주특별자치도 서귀포시 서귀동 271번지 24호 ,2018-02-23
33.2505248,126.6209111,휴게음식점,빅스테이크,제주특별자치도 서귀포시 쇠소깍로 151-8 2층 (하효동),제주특별자치도 서귀포시 하효동 999번지 ,2018-02-23
33.3745513,126.8725065,휴게음식점,레드피아노,제주특별자치도 서귀포시 성산읍 일주동로 5185 가동 1층,제주특별자치도 서귀포시 성산읍 신산리 1175번지 5호 ,2018-02-23
33.255487,126.5686054,휴게음식점,씨유서귀코아루점,제주특별자치도 서귀포시 일주동로 8565 105동 1층 (동홍동),제주특별자치도 서귀포시 동홍동 157번지 ,2018-02-23
33.2589312,126.510677,휴게음식점,도미노피자제주서귀포점,제주특별자치도 서귀포시 신서귀로 118 (서호동),제주특별자치도 서귀포시 서호동 1230번지 1호 ,2018-02-23
33.2253156,126.2567608,휴게음식점,씨유모슬포점,제주특별자치도 서귀포시 대정읍 상모대서로 25,제주특별자치도 서귀포시 대정읍 상모리 3854번지 10호 ,2018-02-23
33.4618465,126.9342266,휴게음식점,지에스25성산해뜰점,제주특별자치도 서귀포시 성산읍 일출로 270-8 1층,제주특별자치도 서귀포시 성산읍 성산리 136번지 13호 ,2018-02-23
33.2610627,126.524605,휴게음식점,세컨드뮤지오,제주특별자치도 서귀포시 중산간동로 8351 1층 (호근동),제주특별자치도 서귀포시 호근동 2004번지 ,2018-02-23
33.2472388,126.5092079,휴게음식점,닥터박스제주월드컵경기장점,제주특별자치도 서귀포시 월드컵로 33 지하1층 (법환동),제주특별자치도 서귀포시 법환동 914번지 ,2018-02-23
33.2507586,126.5611784,휴게음식점,맘스터치 서귀중앙점,제주특별자치도 서귀포시 중앙로 69 1층 (서귀동),  ,2018-02-23
33.4660418,126.9349606,휴게음식점,씨유제주성산일출점,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주특별자치도 서귀포시 성산읍 성산리 299번지 1호 ,2018-02-23
33.2490074,126.5675574,휴게음식점,로타리다방,제주특별자치도 서귀포시 동문로 69 2층 (서귀동),제주특별자치도 서귀포시 서귀동 255번지 10호 ,2018-02-23
